district,area,bedrooms,garage,type,rent
Belenzinho,21,1,0,Studio e kitnet,2400
Vila Marieta,15,1,1,Studio e kitnet,1030
Pinheiros,18,1,0,Apartamento,4000
Vila Ré,56,2,2,Casa em condomínio,1750
Bela Vista,19,1,0,Studio e kitnet,4000
Brás,50,2,1,Apartamento,3800
Brooklin Paulista,72,2,1,Apartamento,3500
Centro,26,1,0,Studio e kitnet,1727
Piqueri,32,2,0,Apartamento,1200
Vila Aricanduva,36,1,0,Apartamento,1200
Sé,63,2,0,Apartamento,1500
Sé,34,1,0,Apartamento,1000
Tatuapé,32,1,0,Studio e kitnet,2100
Lauzane Paulista,50,3,0,Casa em condomínio,1437
Jardim Paraventi,70,2,1,Casa,1600
Cambuci,75,2,0,Casa,2266
Liberdade,64,2,0,Apartamento,1530
Liberdade,28,1,0,Studio e kitnet,2300
Cidade Monções,30,1,1,Casa,2394
Água Branca,32,1,0,Apartamento,1764
Mooca,36,1,0,Apartamento,1850
Sé,30,1,0,Apartamento,1700
Chácara Inglesa,62,2,1,Apartamento,2700
Vila Moreira,40,2,1,Apartamento,1900
Gopoúva,54,2,1,Apartamento,2000
Jardim São Savério,63,3,1,Apartamento,1460
Vila Amalia (zona Norte),59,3,1,Apartamento,1500
Centro,25,1,0,Studio e kitnet,2100
Saúde,54,2,0,Apartamento,1100
Quarta Parada,62,2,0,Casa,2500
Santa Efigênia,80,1,0,Apartamento,2300
Paraíso do Morumbi,24,1,0,Apartamento,900
Chora Menino,100,3,2,Casa,2450
Vila Medeiros,48,2,1,Apartamento,1600
Vila Guarani(zona Leste),35,1,0,Studio e kitnet,1110
Brás,32,1,0,Apartamento,1900
Barra Funda,33,1,0,Apartamento,2200
Vila Augusta,68,2,2,Casa,2426
Vila Olímpia,69,2,1,Apartamento,2910
Bela Vista,25,1,0,Apartamento,2500
Vila Celeste,110,2,0,Casa,1300
Jardim Independência,29,1,0,Studio e kitnet,1180
Brás,44,2,0,Apartamento,2250
Tatuapé,61,2,1,Apartamento,1900
Vila Buarque,11,1,0,Studio e kitnet,1560
Vila Vivaldi,64,2,1,Casa,2500
Vila Brasílio Machado,56,2,2,Apartamento,1900
Vila Carlos de Campos,60,2,1,Casa,1600
Vila Prudente,56,2,1,Apartamento,1890
Vila Andrade,62,2,1,Apartamento,3300
Campos Elíseos,35,1,0,Apartamento,1300
Vila Nivi,45,1,0,Casa,500
Vila Celeste,47,2,0,Casa,1589
Vila Palmeiras,80,2,0,Casa,2150
Ponte Grande,45,2,1,Apartamento,1984
Vila Marina,52,2,1,Apartamento,1800
Jardim Pereira Leite,46,2,0,Apartamento,900
Jardim Utinga,45,2,1,Apartamento,1300
República,31,1,0,Apartamento,1300
Vila São Luís(zona Oeste),12,1,0,Apartamento,1122
Vila Guilherme,20,1,0,Apartamento,1100
Santa Ifigênia,31,1,0,Studio e kitnet,1075
Vila Prudente,60,2,0,Casa,1700
Vila Galvão,65,2,1,Apartamento,1500
Vila Moreira,50,2,1,Apartamento,2500
Vila Monumento,32,1,0,Casa,750
Liberdade,25,1,0,Studio e kitnet,850
Vila Penteado,31,1,0,Apartamento,1500
Vila Alpina,42,1,1,Apartamento,1600
Liberdade,23,1,0,Studio e kitnet,753
Picanço,60,2,1,Casa,1700
São Lucas,22,0,0,Studio e kitnet,900
Sacomã,80,2,1,Casa,2426
Vila Guilherme,34,1,0,Studio e kitnet,1250
Brás,19,1,0,Studio e kitnet,1700
Liberdade,28,1,0,Studio e kitnet,2000
Vila Moinho Velho,70,2,1,Apartamento,3218
Tatuapé,52,2,1,Apartamento,3800
Sacomã,50,2,1,Apartamento,1712
Barra Funda,38,1,1,Apartamento,2400
Vila Santa Maria,23,1,1,Casa,700
Cambuci,15,1,0,Studio e kitnet,1150
Várzea da Barra Funda,31,1,0,Apartamento,2100
Vila Talarico,62,3,1,Apartamento,1700
Maranhão,32,1,0,Apartamento,1550
Vila Aricanduva,46,2,0,Apartamento,1799
Vila Caminho do Mar,98,2,1,Casa,1700
Sacomã,38,1,0,Studio e kitnet,1030
Vila Santa Clara,42,1,1,Casa,1600
Vila Nivi,42,2,0,Casa em condomínio,1500
Jardim São Savério,41,2,0,Apartamento,1300
Mooca,38,1,1,Apartamento,1550
Macedo,28,1,1,Studio e kitnet,2100
Vila Moinho Velho,59,2,1,Apartamento,2200
Centro,37,1,0,Studio e kitnet,1100
Bosque da Saúde,209,3,2,Casa,6000
Vila Constança,75,2,1,Casa em condomínio,4000
Vila Palmeiras,31,1,0,Apartamento,1700
São Lucas,19,0,0,Studio e kitnet,850
Parque Fongaro,32,2,0,Apartamento,1100
Jardim das Acácias,209,4,2,Casa,6950
Penha de França,37,1,0,Apartamento,1490
Vila São Paulo,65,2,1,Casa,2200
Vila Sofia,70,3,2,Apartamento,2100
Campo Grande,114,4,2,Casa,3500
Cerqueira César,55,2,0,Apartamento,3950
Mooca,50,2,1,Apartamento,1700
Vila Constança,59,3,1,Apartamento,2100
Santa Teresinha,55,2,1,Apartamento,1900
