area,bedrooms,garage,rent,district_te,type_te
21,1,0,2400,3208.377273543349,2214.0825435402808
15,1,1,1030,3177.5897204518096,2200.501676722936
18,1,0,4000,4052.8238947756995,3334.70074740475
56,2,2,1750,3155.7892126257093,3591.19050425259
19,1,0,4000,2839.546629915278,2241.411678022503
50,2,1,3800,2568.3934761399773,3345.639561772091
72,2,1,3500,3912.2676256010855,3346.7622631880017
26,1,0,1727,2599.0584575555363,2234.2992260121277
32,2,0,1200,3160.3694832272063,3286.879067612658
36,1,0,1200,3154.523857030221,3370.3818051712847
63,2,0,1500,2731.28205456981,3333.6055134584876
34,1,0,1000,2721.714121453268,3368.7893704100393
32,1,0,2100,3163.380505380928,2232.624202919996
50,3,0,1437,3028.9657791911777,3677.804517174811
70,2,1,1600,3182.4635009190456,3447.899490950228
75,2,0,2266,2859.217496833567,3454.0830114941255
64,2,0,1530,2469.006552241633,3307.2464515727784
28,1,0,2300,2491.059917939752,2230.7979121966696
30,1,1,2394,3952.645542409763,3394.366191070373
32,1,0,1764,3490.7954831441107,3395.1511367010908
36,1,0,1850,3343.6206530698064,3340.134026130593
30,1,0,1700,2735.949619084145,3404.8723153440906
62,2,1,2700,3131.225438063938,3374.5878621470856
40,2,1,1900,3232.8021092358786,3324.2874918458756
54,2,1,2000,3189.31245026215,3380.0574716547576
63,3,1,1460,3143.4053259893108,3403.2561594554245
59,3,1,1500,3155.3338803526512,3319.6448360024183
25,1,0,2100,2573.6391765366925,2218.315649134408
54,2,0,1100,3198.5964540246614,3388.2777212749384
62,2,0,2500,3198.915865158832,3426.645949216042
80,1,0,2300,2816.463530119939,3417.2567864070093
24,1,0,900,3440.3296167594963,3372.4799806138785
100,3,2,2450,3123.0098335895195,3359.930230505262
48,2,1,1600,3017.471532885376,3353.5562812790376
35,1,0,1110,3245.100574293456,2280.7981238183725
32,1,0,1900,2500.9150363510657,3311.264459396082
33,1,0,2200,3125.5039590625643,3383.111285707077
68,2,2,2426,3161.237045854099,3465.7579629141483
69,2,1,2910,4034.6115655205836,3382.3772514070793
25,1,0,2500,2798.0398335230275,3342.1989490302594
110,2,0,1300,3069.4061035037384,3481.6251468025202
29,1,0,1180,3148.3763061261047,2188.323174642247
44,2,0,2250,2557.8070261563166,3323.4613944542143
61,2,1,1900,3071.4924217419716,3429.5725643682954
11,1,0,1560,2744.6977320594374,2217.4771962708787
64,2,1,2500,3305.5539541652083,3458.838218542615
56,2,2,1900,3292.8541529807317,3386.1958480916787
60,2,1,1600,3242.1334103645895,3429.580150943215
56,2,1,1890,3218.6066088035964,3393.3264536033357
62,2,1,3300,3390.3797419034613,3338.7475454032983
35,1,0,1300,2478.165895477112,3330.292700555107
45,1,0,500,3202.708753813218,3467.899368489814
47,2,0,1589,3186.318770724699,3454.9111025975144
80,2,0,2150,3023.535649052887,3449.112195850465
45,2,1,1984,3141.2530476416036,3320.7548701972833
52,2,1,1800,3256.582945536528,3376.434276796175
46,2,0,900,3274.7323953961322,3391.655271943247
45,2,1,1300,3182.7103308570345,3352.6191046615586
31,1,0,1300,2762.639866585209,3416.8501904240484
12,1,0,1122,3235.5192977961833,3346.01350654608
20,1,0,1100,3157.8080038399817,3397.1976004546427
31,1,0,1075,3052.496412181893,2270.351674646045
60,2,0,1700,3234.634797814929,3411.5153898956414
65,2,1,1500,3207.6442560411665,3335.3453906710583
50,2,1,2500,3212.3373082142116,3330.356675215996
32,1,0,750,3078.7740929330394,3495.235430807166
25,1,0,850,2608.2192615369077,2273.1872186964665
31,1,0,1500,3075.5870692307435,3391.1342153297805
42,1,1,1600,2979.083389664738,3344.621384648339
23,1,0,753,2539.9767218721295,2266.556730314893
60,2,1,1700,3227.270223293175,3396.604256712835
22,0,0,900,3027.21763981529,2202.219382893632
80,2,1,2426,3019.168045791615,3344.4947810883396
34,1,0,1250,3059.3313407793917,2224.7647462129457
19,1,0,1700,2618.3508108434307,2300.6801512073644
28,1,0,2000,2458.403477774407,2211.1327379762715
70,2,1,3218,3215.09767857058,3336.594278600092
52,2,1,3800,3131.304460203598,3363.6347663002916
50,2,1,1712,3054.396984394454,3373.5486417967372
38,1,1,2400,3143.724767047594,3299.431894806616
23,1,1,700,3123.5724162505294,3500.066260406008
15,1,0,1150,2764.2885689960544,2225.7008764068296
31,1,0,2100,3274.4003218878543,3384.2813237817436
62,3,1,1700,3242.7010532984536,3449.051064760233
32,1,0,1550,3223.140451102928,3407.010396149481
46,2,0,1799,3152.0782222662765,3347.5269937255266
98,2,1,1700,3244.325719775151,3515.06233915004
38,1,0,1030,3101.9284818221627,2146.682565481638
42,1,1,1600,3193.59612878834,3465.4261425966606
42,2,0,1500,3142.5940970359993,3589.9873343983127
41,2,0,1300,3075.476020061885,3430.993549620201
38,1,1,1550,3333.0972659958697,3392.8610917233946
28,1,1,2100,3195.081811586737,2228.892344861913
59,2,1,2200,3226.0257371217203,3375.312021009145
37,1,0,1100,2624.0382743951363,2195.5406570298064
209,3,2,6000,3197.944161104717,3495.3134788631455
75,2,1,4000,3015.766580865663,3718.6602871508226
31,1,0,1700,3014.8173708584354,3361.992436414466
19,0,0,850,3040.5966681171158,2269.2864641680753
32,2,0,1100,3161.700081382969,3338.3547648672557
